No,Periode,Desa,File
1.,KKN.KKN-T.2022,BUAHAN (KINTAMANI) - BANGLI,KKN.KKN-T.2022_BUAHAN_KINTAMANI__BANGLI\KKN.KKN-T.2022_BUAHAN_KINTAMANI__BANGLI_combined.pdf
2.,KKN.KKN-T.2022,KEDISAN - BANGLI,KKN.KKN-T.2022_KEDISAN__BANGLI\KKN.KKN-T.2022_KEDISAN__BANGLI_combined.pdf
3.,KKN.KKN-T.2022,BATUR  - BANGLI,KKN.KKN-T.2022_BATUR___BANGLI\KKN.KKN-T.2022_BATUR___BANGLI_combined.pdf
4.,KKN.KKN-T.2022,KERTA - GIANYAR,KKN.KKN-T.2022_KERTA__GIANYAR\KKN.KKN-T.2022_KERTA__GIANYAR_combined.pdf
5.,KKN.KKN-T.2022,JEHEM 1 - BANGLI,KKN.KKN-T.2022_JEHEM_1__BANGLI\KKN.KKN-T.2022_JEHEM_1__BANGLI_combined.pdf
6.,KKN.KKN-T.2022,JEHEM 2 - BANGLI,KKN.KKN-T.2022_JEHEM_2__BANGLI\KKN.KKN-T.2022_JEHEM_2__BANGLI_combined.pdf
7.,KKN.MBKM.KKN-T.II.2023,GUNAKSA - KLUNGKUNG,KKN.MBKM.KKN-T.II.2023_GUNAKSA__KLUNGKUNG\KKN.MBKM.KKN-T.II.2023_GUNAKSA__KLUNGKUNG_combined.pdf
8.,KKN.MBKM.KKN-T.II.2023,TISTA - TABANAN,KKN.MBKM.KKN-T.II.2023_TISTA__TABANAN\KKN.MBKM.KKN-T.II.2023_TISTA__TABANAN_combined.pdf
9.,KKN.MBKM.KKN-T.II.2023,BUAHAN (TABANAN) - TABANAN,KKN.MBKM.KKN-T.II.2023_BUAHAN_TABANAN__TABANAN\KKN.MBKM.KKN-T.II.2023_BUAHAN_TABANAN__TABANAN_combined.pdf
10.,KKN.MBKM.KKN-T.II.2023,SANGSIT - BULELENG,KKN.MBKM.KKN-T.II.2023_SANGSIT__BULELENG\KKN.MBKM.KKN-T.II.2023_SANGSIT__BULELENG_combined.pdf
1.,KKN.KKN-T.2022,BUAHAN (KINTAMANI) - BANGLI,KKN.KKN-T.2022_BUAHAN_KINTAMANI__BANGLI\KKN.KKN-T.2022_BUAHAN_KINTAMANI__BANGLI_combined.pdf
2.,KKN.KKN-T.2022,KEDISAN - BANGLI,KKN.KKN-T.2022_KEDISAN__BANGLI\KKN.KKN-T.2022_KEDISAN__BANGLI_combined.pdf
3.,KKN.KKN-T.2022,BATUR  - BANGLI,KKN.KKN-T.2022_BATUR___BANGLI\KKN.KKN-T.2022_BATUR___BANGLI_combined.pdf
4.,KKN.KKN-T.2022,KERTA - GIANYAR,KKN.KKN-T.2022_KERTA__GIANYAR\KKN.KKN-T.2022_KERTA__GIANYAR_combined.pdf
5.,KKN.KKN-T.2022,JEHEM 1 - BANGLI,KKN.KKN-T.2022_JEHEM_1__BANGLI\KKN.KKN-T.2022_JEHEM_1__BANGLI_combined.pdf
6.,KKN.KKN-T.2022,JEHEM 2 - BANGLI,KKN.KKN-T.2022_JEHEM_2__BANGLI\KKN.KKN-T.2022_JEHEM_2__BANGLI_combined.pdf
7.,KKN.MBKM.KKN-T.II.2023,GUNAKSA - KLUNGKUNG,KKN.MBKM.KKN-T.II.2023_GUNAKSA__KLUNGKUNG\KKN.MBKM.KKN-T.II.2023_GUNAKSA__KLUNGKUNG_combined.pdf
8.,KKN.MBKM.KKN-T.II.2023,TISTA - TABANAN,KKN.MBKM.KKN-T.II.2023_TISTA__TABANAN\KKN.MBKM.KKN-T.II.2023_TISTA__TABANAN_combined.pdf
9.,KKN.MBKM.KKN-T.II.2023,BUAHAN (TABANAN) - TABANAN,KKN.MBKM.KKN-T.II.2023_BUAHAN_TABANAN__TABANAN\KKN.MBKM.KKN-T.II.2023_BUAHAN_TABANAN__TABANAN_combined.pdf
10.,KKN.MBKM.KKN-T.II.2023,SANGSIT - BULELENG,KKN.MBKM.KKN-T.II.2023_SANGSIT__BULELENG\KKN.MBKM.KKN-T.II.2023_SANGSIT__BULELENG_combined.pdf
11.,KKN.MBKM.KKN-T.II.2023,PENARUNGAN  - BADUNG,KKN.MBKM.KKN-T.II.2023_PENARUNGAN___BADUNG\KKN.MBKM.KKN-T.II.2023_PENARUNGAN___BADUNG_combined.pdf
12.,KKN.MBKM.KKN-T.II.2023,PEDAWA - BULELENG,KKN.MBKM.KKN-T.II.2023_PEDAWA__BULELENG\KKN.MBKM.KKN-T.II.2023_PEDAWA__BULELENG_combined.pdf
